"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"FLWS","1-800-Flowers.Com Inc","Domestic","1.13%","73.05","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$542M (Micro)"
"ATEN","A10 Networks Inc","Domestic","15.79%","35.98","Information Technology","Software","Systems Software","$1B (Micro)"
"AIR","AAR Corp","Domestic","7.31%","18.84","Industrials","Aerospace & Defense","Aerospace & Defense","$2B (Micro)"
"AAN","Aaron's Company Inc","Domestic","1.88%","23.19","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","$360M (Micro)"
"ANF","Abercrombie & Fitch Co","Domestic","4.45%","18.47","Consumer Discretionary","Specialty Retail","Apparel Retail","$1B (Micro)"
"ACEL","Accel Entertainment Inc","Domestic","10.54%","12.00","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$767M (Micro)"
"ACCR","Access Power Corp","Domestic","1.42%","130.00","Information Technology","Internet Software & Services","Internet Software & Services","$784K (Micro)"
"ACCO","ACCO Brands Corp","Domestic","0.89%","27.37","Industrials","Commercial Services & Supplies","Office Services & Supplies","$513M (Micro)"
"ACMR","ACM Research Inc","Domestic","8.93%","40.00","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$520M (Micro)"
"ACU","Acme United Corp","Domestic","4.38%","15.53","Industrials","Commercial Services & Supplies","Office Services & Supplies","$85M (Micro)"
"AE","Adams Resources & Energy Inc","Domestic","6.59%","12.82","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$97M (Micro)"
"ADUS","Addus Homecare Corp","Domestic","5.44%","39.19","Health Care","Health Care Providers & Services","Health Care Services","$2B (Micro)"
"ATGE","Adtalem Global Education Inc","Domestic","1.89%","38.02","Consumer Discretionary","Diversified Consumer Services","Education Services","$2B (Micro)"
"ADTH","AdTheorent Holding Company Inc","Domestic","34.58%","4.48","Communication Services","Media","Advertising","$164M (Micro)"
"ADES","Advanced Emissions Solutions Inc","Domestic","0.02%","797.95","Materials","Chemicals","Specialty Chemicals","$60M (Micro)"
"AOXY","Advanced Oxygen Technologies Inc","Domestic","17.50%","13.86","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","$764K (Micro)"
"ASIX","AdvanSix Inc","Domestic","15.49%","7.43","Materials","Chemicals","Commodity Chemicals","$1B (Micro)"
"ADV","Advantage Solutions Inc","Domestic","1.41%","11.20","Communication Services","Media","Advertising","$764M (Micro)"
"AEHR","Aehr Test Systems","Domestic","27.92%","78.66","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$706M (Micro)"
"ASLE","AerSale Corp","Domestic","12.45%","16.79","Industrials","Aerospace & Defense","Aerospace & Defense","$830M (Micro)"
"AGTI","Agiliti Inc","Domestic","1.71%","55.55","Health Care","Health Care Providers & Services","Health Care Services","$2B (Micro)"
"AGYS","Agilysys Inc","Domestic","6.88%","201.62","Information Technology","Software","Application Software","$2B (Micro)"
"AIRI","Air Industries Group","Domestic","4.75%","15.68","Industrials","Aerospace & Defense","Aerospace & Defense","$23M (Micro)"
"AIRT","Air T Inc","Domestic","1.32%","164.45","Industrials","Air Freight & Logistics","Air Freight & Logistics","$67M (Micro)"
"ATSG","Air Transport Services Group Inc","Domestic","6.47%","12.19","Industrials","Air Freight & Logistics","Air Freight & Logistics","$2B (Micro)"
"ALG","Alamo Group Inc","Domestic","8.53%","19.46","Industrials","Machinery","Construction Machinery & Heavy Trucks","$2B (Micro)"
"ALEX","Alexander & Baldwin Inc (Hawaii)","Domestic","1.56%","51.69","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$1B (Micro)"
"ALX","Alexander's Inc","Domestic","8.82%","10.49","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$1B (Micro)"
"ALCO","Alico Inc","Domestic","7.93%","7.50","Consumer Staples","Food Products","Agricultural Products","$245M (Micro)"
"ALJJ","ALJ Regional Holdings Inc","Domestic","51.74%","1.13","Information Technology","IT Services","Data Processing & Outsourced Services","$64M (Micro)"
"AMOT","Allied Motion Technologies Inc","Domestic","3.88%","37.51","Industrials","Electrical Equipment","Electrical Components & Equipment","$574M (Micro)"
"MDRX","Allscripts Healthcare Solutions Inc","Domestic","7.15%","19.50","Health Care","Health Care Technology","Health Care Technology","$2B (Micro)"
"AOSL","Alpha and Omega Semiconductor Ltd","Domestic","55.15%","2.20","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$969M (Micro)"
"PINE","Alpine Income Property Trust Inc","Domestic","8.34%","7.56","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$222M (Micro)"
"ALTG","Alta Equipment Group Inc","Domestic","1.56%","62.37","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$395M (Micro)"
"ALTX","Altex Industries Inc","Domestic","30.70%","2.98","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$1M (Micro)"
"ATUS","Altice USA Inc","Domestic","2.28%","3.18","Communication Services","Media","Cable & Satellite","$2B (Micro)"
"ALTO","Alto Ingredients Inc","Domestic","6.91%","9.94","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$266M (Micro)"
"AMCX","AMC Networks Inc","Domestic","7.21%","3.14","Communication Services","Media","Broadcasting","$893M (Micro)"
"DIT","AMCON Distributing Co","Domestic","8.49%","5.78","Consumer Discretionary","Distributors","Distributors","$106M (Micro)"
"AMEN","AMEN Properties Inc","Domestic","66.19%","4.17","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$28M (Micro)"
"AMMX","AmeraMex International Inc","Domestic","28.21%","3.49","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$6M (Micro)"
"UHAL","Amerco","Domestic","6.82%","1.09","Industrials","Road & Rail","Trucking","$1B (Micro)"
"AAT","American Assets Trust Inc","Domestic","1.83%","40.45","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$2B (Micro)"
"AXL","American Axle & Manufacturing Holdings Inc","Domestic","0.09%","385.05","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$1B (Micro)"
"ARL","American Realty Investors Inc","Domestic","55.07%","1.02","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","$328M (Micro)"
"AMS","American Shared Hospital Services","Domestic","4.83%","14.66","Health Care","Health Care Providers & Services","Health Care Services","$18M (Micro)"
"AMSWA","American Software Inc","Domestic","8.05%","45.10","Information Technology","Software","Application Software","$482M (Micro)"
"AVD","American Vanguard Corp","Domestic","5.10%","24.15","Materials","Chemicals","Fertilizers & Agricultural Chemicals","$672M (Micro)"
"AMTY","Amerityre Corp","Domestic","14.35%","9.90","Consumer Discretionary","Auto Components","Tires & Rubber","$3M (Micro)"
"AXRX","Amexdrug Corp","Domestic","29.46%","98.21","Health Care","Health Care Providers & Services","Health Care Distributors","$28M (Micro)"
"POWW","Ammo Inc","Domestic","7.43%","10.38","Consumer Discretionary","Leisure Products","Leisure Products","$249M (Micro)"
"AMPH","Amphastar Pharmaceuticals Inc","Domestic","13.34%","19.34","Health Care","Pharmaceuticals","Pharmaceuticals","$1B (Micro)"
"AMPY","Amplify Energy Corp","Domestic","22.44%","5.36","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$336M (Micro)"
"AXR","AMREP Corp","Domestic","17.47%","4.61","Real Estate","Real Estate Management & Development","Real Estate Development","$59M (Micro)"
"ASYS","Amtech Systems Inc","Domestic","13.37%","10.72","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$146M (Micro)"
"ANDE","Andersons Inc","Domestic","10.92%","9.58","Consumer Staples","Food & Staples Retailing","Food Distributors","$1B (Micro)"
"HOUS","Anywhere Real Estate Inc","Domestic","4.04%","3.57","Real Estate","Real Estate Management & Development","Real Estate Services","$709M (Micro)"
"AIV","Apartment Investment and Management Co","Domestic","14.29%","4.51","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$1B (Micro)"
"APOG","Apogee Enterprises Inc","Domestic","7.36%","19.89","Industrials","Building Products","Building Products","$1B (Micro)"
"AMEH","Apollo Medical Holdings Inc","Domestic","4.38%","19.77","Health Care","Health Care Providers & Services","Health Care Services","$2B (Micro)"
"APVO","Aptevo Therapeutics Inc","Domestic","20.10%","2.74","Health Care","Biotechnology","Biotechnology","$15M (Micro)"
"ARC","ARC Document Solutions Inc","Domestic","4.69%","11.18","Industrials","Commercial Services & Supplies","Office Services & Supplies","$129M (Micro)"
"ARCB","ArcBest Corp","Domestic","21.55%","6.37","Industrials","Road & Rail","Trucking","$2B (Micro)"
"AROC","Archrock Inc","Domestic","1.63%","34.10","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$1B (Micro)"
"RCUS","Arcus Biosciences Inc","Domestic","8.35%","75.24","Health Care","Biotechnology","Biotechnology","$2B (Micro)"
"ASC","Ardmore Shipping Corp","Domestic","12.18%","8.17","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$614M (Micro)"
"AGX","Argan Inc","Domestic","7.61%","21.59","Industrials","Construction & Engineering","Construction & Engineering","$514M (Micro)"
"ARHS","Arhaus Inc","Domestic","29.91%","15.63","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","$1B (Micro)"
"ARIS","Aris Water Solutions Inc","Domestic","0.64%","147.94","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$917M (Micro)"
"ARKR","Ark Restaurants Corp","Domestic","11.95%","4.47","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$69M (Micro)"
"ARKO","Arko Corp.","Domestic","2.83%","17.87","Consumer Discretionary","Specialty Retail","Automotive Retail","$1B (Micro)"
"AHH","Armada Hoffler Properties Inc","Domestic","5.18%","15.03","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$1B (Micro)"
"ARTW","Art's Way Manufacturing Co Inc","Domestic","3.06%","21.79","Industrials","Machinery","Agricultural & Farm Machinery","$10M (Micro)"
"ACNT","Ascent Industries Co","Domestic","14.53%","3.71","Materials","Metals & Mining","Steel","$112M (Micro)"
"ASRT","Assertio Holdings Inc","Domestic","12.59%","5.36","Health Care","Pharmaceuticals","Pharmaceuticals","$142M (Micro)"
"ASTO","Astro Communications Inc","Domestic","33.95%","6.39","Consumer Discretionary","Household Durables","Household Appliances","$13M (Micro)"
"AVIR","Atea Pharmaceuticals Inc","Domestic","5.69%","13.16","Health Care","Pharmaceuticals","Pharmaceuticals","$392M (Micro)"
"ATRI","Atrion Corp","Domestic","13.70%","31.16","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$1B (Micro)"
"AATC","Autoscope Technologies Corp","Domestic","2.46%","53.36","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$27M (Micro)"
"AVNS","Avanos Medical Inc","Domestic","2.83%","29.36","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$1B (Micro)"
"FPCG","Avem Health Partners Inc","Domestic","25.95%","3.64","Health Care","Health Care Providers & Services","Health Care Services","$10M (Micro)"
"AVNW","Aviat Networks Inc","Domestic","6.52%","27.49","Information Technology","Communications Equipment","Communications Equipment","$357M (Micro)"
"CDMO","Avid Bioservices Inc","Domestic","43.50%","10.61","Health Care","Biotechnology","Biotechnology","$916M (Micro)"
"AVID","Avid Technology Inc","Domestic","58.83%","27.96","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$1B (Micro)"
"AXTI","AXT Inc","Domestic","9.69%","13.17","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$232M (Micro)"
"AZZ","AZZ Inc","Domestic","5.30%","12.65","Industrials","Electrical Equipment","Heavy Electrical Equipment","$1B (Micro)"
"B","Barnes Group Inc","Domestic","1.21%","77.92","Industrials","Machinery","Industrial Machinery","$2B (Micro)"
"BRN","Barnwell Industries Inc","Domestic","38.71%","4.21","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$31M (Micro)"
"BBSI","Barrett Business Services Inc","Domestic","11.48%","15.45","Industrials","Professional Services","Human Resource & Employment Services","$685M (Micro)"
"BSET","Bassett Furniture Industries Inc","Domestic","8.65%","7.34","Consumer Discretionary","Household Durables","Home Furnishings","$175M (Micro)"
"BATL","Battalion Oil Corp","Domestic","19.87%","3.74","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$191M (Micro)"
"BBXIA","BBX Capital Inc","Domestic","4.46%","8.28","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","$115M (Micro)"
"SKIN","Beauty Health Co","Domestic","2.35%","55.41","Consumer Staples","Personal Products","Personal Products","$1B (Micro)"
"BZH","Beazer Homes USA Inc","Domestic","11.73%","1.87","Consumer Discretionary","Household Durables","Homebuilding","$414M (Micro)"
"BELFA","Bel Fuse Inc","Domestic","11.69%","9.44","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$76M (Micro)"
"BHE","Benchmark Electronics Inc","Domestic","4.46%","17.16","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$1B (Micro)"
"BRY","Berry Corporation (Bry)","Domestic","14.48%","3.92","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$680M (Micro)"
"BGSF","BGSF Inc","Domestic","9.47%","12.30","Industrials","Professional Services","Human Resource & Employment Services","$142M (Micro)"
"BGFV","Big 5 Sporting Goods Corp","Domestic","8.81%","6.40","Consumer Discretionary","Specialty Retail","Specialty Stores","$283M (Micro)"
"BIOQ","Bioqual Inc","Domestic","10.27%","12.69","Health Care","Biotechnology","Biotechnology","$67M (Micro)"
"BTMD","biote Corp","Domestic","5.12%","9.34","Health Care","Pharmaceuticals","Pharmaceuticals","$262M (Micro)"
"BLMN","Bloomin' Brands Inc","Domestic","4.86%","24.64","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$2B (Micro)"
"BVH","Bluegreen Vacations Holding Corp","Domestic","8.62%","6.28","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$423M (Micro)"
"BXC","Bluelinx Holdings Inc","Domestic","30.72%","2.02","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$623M (Micro)"
"BMTX","Bm Technologies Inc","Domestic","16.15%","7.65","Information Technology","IT Services","Data Processing & Outsourced Services","$67M (Micro)"
"BONL","Bonal International Inc","Domestic","9.57%","20.38","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$3M (Micro)"
"BOOT","Boot Barn Holdings Inc","Domestic","21.04%","10.40","Consumer Discretionary","Specialty Retail","Apparel Retail","$2B (Micro)"
"BWTL","Bowlin Travel Centers Inc","Domestic","6.62%","12.28","Consumer Discretionary","Specialty Retail","Specialty Stores","$20M (Micro)"
"BWMN","Bowman Consulting Group Ltd","Domestic","3.20%","74.52","Industrials","Construction & Engineering","Construction & Engineering","$262M (Micro)"
"BPT","BP Prudhoe Bay Royalty Trust","Domestic","2,022.89%","4.09","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$293M (Micro)"
"BHR","Braemar Hotels & Resorts Inc","Domestic","1.18%","68.99","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$262M (Micro)"
"BDN","Brandywine Realty Trust","Domestic","0.78%","39.79","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$1B (Micro)"
"BRID","Bridgford Foods Corp","Domestic","29.42%","2.66","Consumer Staples","Food Products","Packaged Foods & Meats","$103M (Micro)"
"BV","Brightview Holdings Inc","Domestic","0.50%","40.29","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$682M (Micro)"
"BRLT","Brilliant Earth Group Inc","Domestic","30.63%","172.56","Consumer Discretionary","Specialty Retail","Specialty Stores","$498M (Micro)"
"EAT","Brinker International Inc","Domestic","4.00%","20.99","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$2B (Micro)"
"VTOL","Bristow Group Inc","Domestic","1.07%","46.08","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$729M (Micro)"
"BRT","BRT Apartments Corp","Domestic","9.67%","6.93","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$391M (Micro)"
"BBW","Build-A-Bear Workshop Inc","Domestic","29.26%","6.04","Consumer Discretionary","Specialty Retail","Specialty Stores","$280M (Micro)"
"BURCA","Burnham Holdings Inc","Domestic","3.01%","14.39","Industrials","Building Products","Building Products","$59M (Micro)"
"BUKS","Butler National Corp","Domestic","9.41%","6.38","Industrials","Aerospace & Defense","Aerospace & Defense","$51M (Micro)"
"CDRE","Cadre Holdings Inc","Domestic","1.34%","297.32","Industrials","Aerospace & Defense","Aerospace & Defense","$944M (Micro)"
"CSTE","Caesarstone Ltd","Domestic","2.13%","15.91","Industrials","Building Products","Building Products","$223M (Micro)"
"CAL","Caleres Inc","Domestic","22.57%","5.35","Consumer Discretionary","Specialty Retail","Apparel Retail","$1B (Micro)"
"CLWY","Calloway's Nursery Inc","Domestic","7.31%","63.47","Consumer Discretionary","Specialty Retail","Specialty Stores","$103M (Micro)"
"CMBM","Cambium Networks Corp","Domestic","7.35%","49.76","Information Technology","Communications Equipment","Communications Equipment","$556M (Micro)"
"CPHC","Canterbury Park Holding Corp","Domestic","17.94%","10.63","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$137M (Micro)"
"CPTP","Capital Properties Inc","Domestic","22.51%","42.31","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","$74M (Micro)"
"CRDE","Cardinal Ethanol LLC","Domestic","63.12%","2.56","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$233M (Micro)"
"PRTS","Carparts.Com Inc","Domestic","0.17%","1,871.89","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$287M (Micro)"
"CSV","Carriage Services Inc","Domestic","4.23%","8.51","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$352M (Micro)"
"CARS","Cars.com Inc","Domestic","0.11%","1,333.33","Communication Services","Interactive Media & Services","Interactive Media & Services","$941M (Micro)"
"CAGU","Castle Group Inc","Domestic","2.58%","9.86","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$1M (Micro)"
"CBIO","Catalyst Biosciences Inc","Domestic","26.21%","1.46","Health Care","Biotechnology","Biotechnology","$17M (Micro)"
"CPRX","Catalyst Pharmaceuticals Inc","Domestic","27.25%","28.80","Health Care","Biotechnology","Biotechnology","$2B (Micro)"
"CVCO","Cavco Industries Inc","Domestic","30.84%","7.44","Consumer Discretionary","Household Durables","Homebuilding","$2B (Micro)"
"CECO","CECO Environmental Corp","Domestic","3.50%","38.87","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$392M (Micro)"
"CENT","Central Garden & Pet Co","Domestic","5.65%","14.51","Consumer Staples","Household Products","Household Products","$523M (Micro)"
"LEU","Centrus Energy Corp","Domestic","79.02%","4.71","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$547M (Micro)"
"CENX","Century Aluminum Co","Domestic","14.87%","5.31","Materials","Metals & Mining","Aluminum","$788M (Micro)"
"CNTY","Century Casinos Inc","Domestic","3.04%","15.61","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$235M (Micro)"
"CCS","Century Communities Inc","Domestic","20.78%","2.56","Consumer Discretionary","Household Durables","Homebuilding","$1B (Micro)"
"CSBR","Champions Oncology Inc","Domestic","2.34%","292.90","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$96M (Micro)"
"CTHR","Charles & Colvard Ltd","Domestic","1.08%","46.60","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$29M (Micro)"
"CHUC","Charlie's Holdings Inc","Domestic","415.92%","6.86","Consumer Staples","Tobacco","Tobacco","$37M (Micro)"
"CCF","Chase Corp","Domestic","9.43%","20.32","Materials","Chemicals","Specialty Chemicals","$907M (Micro)"
"CAKE","Cheesecake Factory Inc","Domestic","2.26%","37.40","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$2B (Micro)"
"CHEF","Chefs' Warehouse Inc","Domestic","3.76%","44.32","Consumer Staples","Food & Staples Retailing","Food Distributors","$1B (Micro)"
"CHKR","Chesapeake Granite Wash Trust","Domestic","108.07%","4.57","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$55M (Micro)"
"CVR","Chicago Rivet & Machine Co","Domestic","2.85%","30.20","Industrials","Machinery","Industrial Machinery","$26M (Micro)"
"CHS","Chico's FAS Inc","Domestic","15.24%","7.12","Consumer Discretionary","Specialty Retail","Apparel Retail","$801M (Micro)"
"PLCE","Children's Place Inc","Domestic","29.71%","4.94","Consumer Discretionary","Specialty Retail","Apparel Retail","$541M (Micro)"
"CMRX","Chimerix Inc","Domestic","80.17%","1.27","Health Care","Biotechnology","Biotechnology","$195M (Micro)"
"CHUY","Chuy's Holdings Inc","Domestic","5.46%","25.30","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$577M (Micro)"
"CTRN","Citi Trends Inc","Domestic","14.60%","4.06","Consumer Discretionary","Specialty Retail","Apparel Retail","$186M (Micro)"
"CVEO","Civeo Corp","Domestic","5.81%","16.61","Industrials","Commercial Services & Supplies","Diversified Support Services","$402M (Micro)"
"CLAR","Clarus Corp","Domestic","4.83%","11.41","Consumer Discretionary","Leisure Products","Leisure Products","$272M (Micro)"
"CLFD","Clearfield Inc","Domestic","34.90%","35.41","Information Technology","Communications Equipment","Communications Equipment","$2B (Micro)"
"CLW","Clearwater Paper Corp","Domestic","4.29%","10.83","Materials","Paper & Forest Products","Paper Products","$652M (Micro)"
"CLMB","Climb Global Solutions Inc","Domestic","19.45%","13.13","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$148M (Micro)"
"CMGO","CMG Holdings Group Inc","Domestic","51.96%","5.52","Communication Services","Media","Advertising","$2M (Micro)"
"CODX","Co-Diagnostics Inc","Domestic","12.48%","7.52","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$107M (Micro)"
"CODA","Coda Octopus Group Inc","Domestic","8.77%","18.99","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$67M (Micro)"
"COEP","Coeptis Therapeutics Holdings Inc","Domestic","10.94%","3.42","Health Care","Biotechnology","Biotechnology","$11M (Micro)"
"COHU","Cohu Inc","Domestic","9.16%","17.99","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$2B (Micro)"
"CMCO","Columbus McKinnon Corp","Domestic","3.21%","20.42","Industrials","Machinery","Industrial Machinery","$898M (Micro)"
"CVGI","Commercial Vehicle Group Inc","Domestic","3.83%","16.87","Industrials","Machinery","Construction Machinery & Heavy Trucks","$220M (Micro)"
"CHCT","Community Healthcare Trust Inc","Domestic","2.98%","40.49","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$877M (Micro)"
"CPSI","Computer Programs and Systems Inc","Domestic","5.08%","22.83","Health Care","Health Care Technology","Health Care Technology","$422M (Micro)"
"CTG","Computer Task Group Inc","Domestic","11.65%","8.41","Information Technology","IT Services","IT Consulting & Other Services","$124M (Micro)"
"CIX","CompX International Inc","Domestic","11.52%","12.49","Industrials","Commercial Services & Supplies","Office Services & Supplies","$241M (Micro)"
"CHCI","Comstock Holding Companies Inc","Domestic","24.89%","4.29","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","$41M (Micro)"
"BBCP","Concrete Pumping Holdings Inc","Domestic","3.37%","17.72","Industrials","Construction & Engineering","Construction & Engineering","$422M (Micro)"
"CNDT","Conduent Inc","Domestic","3.64%","8.86","Information Technology","IT Services","Data Processing & Outsourced Services","$846M (Micro)"
"CONN","Conn's Inc","Domestic","2.31%","7.84","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail","$223M (Micro)"
"CNRD","Conrad Industries Inc","Domestic","22.72%","3.39","Industrials","Machinery","Construction Machinery & Heavy Trucks","$85M (Micro)"
"CCSI","Consensus Cloud Solutions Inc","Domestic","8.00%","14.21","Information Technology","Software","Application Software","$1B (Micro)"
"CSTM","Constellium SE","Domestic","8.40%","7.09","Materials","Metals & Mining","Aluminum","$2B (Micro)"
"ROAD","Construction Partners Inc","Domestic","2.26%","90.43","Industrials","Construction & Engineering","Construction & Engineering","$1B (Micro)"
"TCS","Container Store Group Inc","Domestic","6.72%","3.81","Consumer Discretionary","Specialty Retail","Specialty Stores","$242M (Micro)"
"CMT","Core Molding Technologies Inc","Domestic","5.67%","11.88","Materials","Chemicals","Commodity Chemicals","$97M (Micro)"
"CCRD","CoreCard Corp","Domestic","30.83%","16.77","Information Technology","Software","Application Software","$256M (Micro)"
"CXW","CoreCivic Inc","Domestic","4.17%","11.35","Industrials","Commercial Services & Supplies","Security & Alarm Services","$1B (Micro)"
"CMRE","Costamare Inc","Domestic","13.25%","2.45","Industrials","Marine","Marine","$1B (Micro)"
"CVLG","Covenant Logistics Group Inc","Domestic","20.95%","5.33","Industrials","Road & Rail","Trucking","$524M (Micro)"
"CVU","CPI Aerostructures Inc","Domestic","8.65%","19.11","Industrials","Aerospace & Defense","Aerospace & Defense","$36M (Micro)"
"PMTS","CPI Card Group Inc","Domestic","11.21%","11.55","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$277M (Micro)"
"CPSH","CPS Technologies Corp","Domestic","14.21%","21.96","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$45M (Micro)"
"CRAI","CRA International Inc","Domestic","13.00%","20.25","Industrials","Professional Services","Research & Consulting Services","$855M (Micro)"
"CRAWA","Crawford United Corp","Domestic","5.11%","17.42","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$62M (Micro)"
"CREX","Creative Realities Inc","Domestic","4.93%","10.50","Communication Services","Media","Advertising","$13M (Micro)"
"CRCT","Cricut Inc","Domestic","8.64%","29.88","Consumer Discretionary","Household Durables","Household Appliances","$2B (Micro)"
"CCRN","Cross Country Healthcare Inc","Domestic","46.31%","5.98","Health Care","Health Care Providers & Services","Health Care Services","$1B (Micro)"
"CRT","Cross Timbers Royalty Trust","Domestic","256.76%","12.39","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$132M (Micro)"
"CAPL","Crossamerica Partners LP","Domestic","5.42%","13.41","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$760M (Micro)"
"CRWS","Crown Crafts Inc","Domestic","16.89%","7.13","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Textiles","$59M (Micro)"
"CCEL","Cryo-Cell International Inc","Domestic","3.13%","32.17","Health Care","Health Care Providers & Services","Health Care Services","$41M (Micro)"
"CSGS","CSG Systems International Inc","Domestic","5.45%","47.26","Information Technology","IT Services","Data Processing & Outsourced Services","$2B (Micro)"
"CSPI","CSP Inc","Domestic","1.91%","40.78","Information Technology","IT Services","IT Consulting & Other Services","$35M (Micro)"
"CSWI","CSW Industrials Inc","Domestic","9.78%","22.48","Industrials","Building Products","Building Products","$2B (Micro)"
"CTO","CTO Realty Growth Inc","Domestic","1.09%","131.71","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$384M (Micro)"
"CTS","CTS Corp","Domestic","9.28%","25.29","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$1B (Micro)"
"CGEM","Cullinan Oncology Inc","Domestic","19.75%","6.03","Health Care","Biotechnology","Biotechnology","$604M (Micro)"
"CMLS","Cumulus Media Inc","Domestic","3.47%","2.86","Communication Services","Media","Broadcasting","$133M (Micro)"
